timestamp,decode_inflight,node_weights,service_rate,decode_latency,prefill_latency,error
1768194219.4688492,"{'1': 3, '0': 7}","{'0': 2.106921331798265, '1': 0.8969654851383572}","{'0': 55.22353455047214, '1': 15.544275705441798}",0.3460583328582366,0.10968238362936322,
1768194222.9937108,"{'1': 13, '0': 26}","{'0': 2.20144748061786, '1': 0.9469654851383572}","{'0': 51.458294143447745, '1': 14.782711939712879}",0.2456936996196995,0.26430977146322254,
1768194226.3366375,"{'1': 3, '0': 8}","{'0': 2.229408946488063, '1': 0.9158799976432344}","{'0': 67.16201713922973, '1': 16.233482108300684}",0.21968777513419233,0.028826042444986676,
1768194230.790256,"{'1': 1, '0': 1}","{'0': 2.290400323043852, '1': 0.9243977903317622}","{'0': 56.69114182266228, '1': 15.67020151946138}",0.28197964801274333,0.06781153240287659,
1768194234.157136,"{'1': 9, '0': 20}","{'0': 2.2975561365851185, '1': 1.017403764366638}","{'0': 55.902225455375095, '1': 23.315892425519614}",0.17917042765931177,0.24797812782729148,
1768194237.6330833,"{'1': 12, '0': 0}","{'0': 2.2475561365851187, '1': 1.1023849944928426}","{'0': 56.07337441598104, '1': 15.866098961123914}",0.43387194268720636,0.3246502653872244,
1768194241.6763983,"{'1': 1, '0': 1}","{'0': 2.172556136585119, '1': 1.1424127183507007}","{'0': 61.71346870639387, '1': 22.32424587419819}",0.2583896652403469,0.08360667428680185,
1768194246.2412114,"{'1': 13, '0': 19}","{'0': 2.2035005440604007, '1': 1.1780248593358642}","{'0': 51.123466137060035, '1': 17.404564739433535}",0.17350678741797732,0.051460582994828634,
1768194249.5501847,"{'1': 1, '0': 0}","{'0': 2.2535005440604006, '1': 1.127700947245048}","{'0': 61.329416202848265, '1': 18.175162549612438}",0.21257874432457702,0.06471532043888904,
1768194254.089098,"{'1': 9, '0': 20}","{'0': 2.2774165047176544, '1': 1.077310236359506}","{'0': 52.907813775848865, '1': 16.853415450827402}",0.13751120690117774,0.055903004004909156,
1768194257.458777,"{'1': 1, '0': 3}","{'0': 2.2524165047176545, '1': 1.0470308326021747}","{'0': 67.65231558916153, '1': 14.294784273260039}",0.3906653462591889,0.034700296715270224,
1768194262.0363228,"{'1': 4, '0': 7}","{'0': 2.2024165047176547, '1': 0.9896450744475469}","{'0': 57.86823056772769, '1': 16.539168923420355}",0.33481604138339965,0.16537915489612748,
1768194265.475042,"{'1': 0, '0': 0}","{'0': 2.2024165047176547, '1': 1.0034528561917901}","{'0': 69.72771143196809, '1': 20.491240009579098}",0.4551120312240513,0.3393241670112018,
1768194269.9366622,"{'1': 9, '0': 18}","{'0': 2.2504285688091317, '1': 0.966362592461955}","{'0': 60.454290465325926, '1': 15.214721977202917}",0.12842337239806317,0.04886918000292822,
1768194273.2476382,"{'1': 1, '0': 1}","{'0': 2.2535608609744737, '1': 0.9574127033816865}","{'0': 76.35099987026027, '1': 20.496356686847683}",0.20197855663431147,0.038996191828998696,
1768194277.6345446,"{'1': 1, '0': 3}","{'0': 2.2535608609744737, '1': 1.0074127033816864}","{'0': 73.12741210736718, '1': 19.621761614210836}",0.3089282466512628,0.03545761756507078,
1768194280.970747,"{'1': 4, '0': 9}","{'0': 2.1966921841589095, '1': 1.0760979788761849}","{'0': 62.172433795478725, '1': 25.265291773708558}",0.19499659306371758,0.052149739638124394,
1768194284.3814938,"{'1': 20, '0': 37}","{'0': 2.1716921841589096, '1': 1.026097978876185}","{'0': 56.3668098934447, '1': 17.651926641092487}",0.20804377859222606,0.1386149731135007,
1768194288.0415444,"{'1': 2, '0': 3}","{'0': 2.2216921841589095, '1': 0.9729302068004351}","{'0': 61.39159008213728, '1': 16.474615724726952}",0.19297857006434774,0.029751307077395657,
1768194292.1703637,"{'1': 8, '0': 15}","{'0': 2.191972737117415, '1': 0.9742849780806107}","{'0': 49.979931385566516, '1': 17.36601983987168}",0.18052039582075052,0.05233176374044681,
1768194296.0765884,"{'1': 21, '0': 49}","{'0': 2.216972737117415, '1': 0.9539723276588065}","{'0': 49.39740117925862, '1': 17.581028195845192}",0.2667023140132646,0.24316263844375605,
1768194299.7312243,"{'1': 4, '0': 8}","{'0': 2.2669727371174146, '1': 0.9244514376511486}","{'0': 63.86534486396832, '1': 13.635521477308451}",0.28839816409250024,0.028459398142097216,
1768194304.0688696,"{'1': 7, '0': 15}","{'0': 2.2293249349886906, '1': 0.9244514376511486}","{'0': 65.18009912199993, '1': 13.165330902483221}",0.2558073210647516,0.013193922771504428,
1768194307.4237907,"{'1': 8, '0': 0}","{'0': 2.32932493498869, '1': 0.8994514376511485}","{'0': 56.13799079756797, '1': 14.37833617073914}",0.4768216992521954,0.19389934501195893,
1768194311.5251687,"{'1': 5, '0': 14}","{'0': 2.310162281181776, '1': 0.8529684310154331}","{'0': 68.96918049836219, '1': 17.595400318544407}",0.2370757011986722,0.03809333510881456,
1768194315.177148,"{'1': 0, '0': 0}","{'0': 2.2601622811817763, '1': 0.8514997259566877}","{'0': 73.49278441005103, '1': 17.667728482196594}",0.3481147009558323,0.048942686038264606,
1768194319.7478783,"{'1': 4, '0': 6}","{'0': 2.2601622811817763, '1': 0.8869247869716803}","{'0': 63.761591137358266, '1': 11.875497926272104}",0.20861766712363242,0.025053742443855356,
1768194323.0018048,"{'1': 4, '0': 0}","{'0': 2.2601622811817763, '1': 0.9018469815121831}","{'0': 53.51172976386192, '1': 15.38822181227017}",0.293063097521031,0.030950134864791597,
1768194326.3612685,"{'1': 5, '0': 4}","{'0': 2.260845390567662, '1': 0.826846981512183}","{'0': 68.62527970375298, '1': 13.511852122024553}",0.14303573668672925,0.03282925375108936,
1768194330.58353,"{'1': 2, '0': 0}","{'0': 2.216007074184274, '1': 0.75283408275008}","{'0': 64.48968633241496, '1': 10.761210137615059}",0.22667157731146548,0.0283502158111333,
1768194334.994914,"{'1': 5, '0': 0}","{'0': 2.200096660541984, '1': 0.72783408275008}","{'0': 78.70423469822231, '1': 12.429234705404578}",0.508359589630789,0.3386365254523136,
1768194339.2476797,"{'1': 5, '0': 8}","{'0': 2.1522659440958987, '1': 0.7387639828364938}","{'0': 72.13857783355225, '1': 12.9640668981306}",0.2635185199730783,0.13873621124980196,
1768194342.7555559,"{'1': 3, '0': 0}","{'0': 2.2022659440958985, '1': 0.6469545331793106}","{'0': 70.86563557505319, '1': 10.186210349332312}",0.23540165197208301,0.032875507957893124,
1768194347.2026265,"{'1': 1, '0': 1}","{'0': 2.2022659440958985, '1': 0.6969545331793107}","{'0': 77.76487692402208, '1': 12.649325073541757}",0.27628118881449176,0.15126637834089776,
1768194350.429552,"{'1': 12, '0': 24}","{'0': 2.1272659440958988, '1': 0.6969545331793107}","{'0': 53.06318455230643, '1': 13.091148876655595}",0.20052961088260945,0.23937335098433157,
1768194353.944618,"{'1': 1, '0': 0}","{'0': 2.1772659440958986, '1': 0.7299848459187519}","{'0': 58.72262090792824, '1': 12.557682190875292}",0.2932026527691722,0.027490056445183094,
1768194358.2504747,"{'1': 5, '0': 12}","{'0': 2.1272659440958988, '1': 0.7992851053429023}","{'0': 67.12706489213114, '1': 13.810894978868886}",0.14754370598613514,0.046227887688748664,
1768194361.3865025,"{'1': 6, '0': 11}","{'0': 2.077265944095899, '1': 0.8260879876933291}","{'0': 56.94218939018786, '1': 14.699954671832888}",0.3206656314740862,0.045273451787531276,
1768194364.9725058,"{'1': 1, '0': 2}","{'0': 2.1772659440958986, '1': 0.8510879876933292}","{'0': 64.99384119960862, '1': 16.2273281342729}",0.312222520664172,0.028372283908936355,
1768194368.2284667,"{'1': 3, '0': 3}","{'0': 2.1921673946603435, '1': 0.9760879876933293}","{'0': 52.966364592770496, '1': 16.14969928509948}",0.3451211749286376,0.0832586015470261,
1768194371.8501024,"{'1': 3, '0': 2}","{'0': 2.1421673946603437, '1': 0.9260879876933291}","{'0': 58.42580895657993, '1': 15.879265208513994}",0.14947299223543672,0.028548759178077053,
1768194376.4106617,"{'1': 6, '0': 14}","{'0': 2.1671673946603436, '1': 0.9260879876933291}","{'0': 50.789127523606844, '1': 15.460060738752214}",0.17067848809399477,0.04067822779620508,
1768194379.9238787,"{'1': 22, '0': 39}","{'0': 2.105304330382449, '1': 0.9555145883219994}","{'0': 43.31180010467941, '1': 18.057089944148}",0.3078616640057963,0.4059026516421907,
1768194383.4267514,"{'1': 3, '0': 3}","{'0': 1.9629111363185883, '1': 0.9715816315836272}","{'0': 72.50336823047108, '1': 15.407888449122872}",0.23397791316431965,0.0479083311647744,
1768194387.8689528,"{'1': 0, '0': 0}","{'0': 2.087911136318588, '1': 0.945049264086477}","{'0': 64.97873136611977, '1': 15.6939556803704}",0.32077015520965363,0.03391816289650995,
1768194392.080062,"{'1': 6, '0': 12}","{'0': 2.1198441161475143, '1': 0.985839038637229}","{'0': 66.55746542989917, '1': 17.383910417016686}",0.1432860116363718,0.032587215271292894,
1768194396.2158394,"{'1': 9, '0': 20}","{'0': 2.169844116147514, '1': 0.985839038637229}","{'0': 55.91777952594458, '1': 20.372711624047334}",0.24275582026341808,0.07731144856972733,
1768194399.484201,"{'1': 18, '0': 29}","{'0': 2.194844116147514, '1': 1.010839038637229}","{'0': 53.684782594869844, '1': 14.518821342290792}",0.4778008050318161,0.38355460087348014,
1768194403.3186007,"{'1': 3, '0': 5}","{'0': 2.22080738996315, '1': 0.9443103849600676}","{'0': 54.61426054420652, '1': 18.930037837710643}",0.23193383030674877,0.019604019646287673,
1768194407.453992,"{'1': 6, '0': 13}","{'0': 2.206144139154702, '1': 0.9612449357356914}","{'0': 52.312093210133405, '1': 16.095938785025282}",0.20538166575544647,0.03134712900855622,
1768194410.8944712,"{'1': 1, '0': 0}","{'0': 2.1257351961342428, '1': 0.9612449357356914}","{'0': 65.98106306476828, '1': 17.634189921436167}",0.5366327317686987,0.08667387881944834,
1768194415.2821448,"{'1': 4, '0': 1}","{'0': 2.1507351961342427, '1': 1.0239810021417828}","{'0': 58.13892623370724, '1': 21.273062899616157}",0.24750727928644944,0.03621538097661214,
1768194418.842904,"{'1': 24, '0': 49}","{'0': 2.1309473313328686, '1': 1.0075609046950793}","{'0': 49.397758529234906, '1': 15.658186605573299}",0.20311638376552377,0.29414075720446,
1768194422.4243762,"{'1': 5, '0': 11}","{'0': 2.1120201405500785, '1': 1.0075609046950793}","{'0': 56.84268221004547, '1': 19.4367758351882}",0.24552023623037955,0.03347639014259802,
1768194426.7257779,"{'1': 8, '0': 16}","{'0': 2.1478732252941994, '1': 1.0075609046950793}","{'0': 61.511843541381694, '1': 17.295820715538216}",0.24489177198141984,0.06133473359986931,
1768194430.0118442,"{'1': 2, '0': 0}","{'0': 2.222416951492079, '1': 0.9075609046950792}","{'0': 68.85211201399531, '1': 15.424932298888134}",0.19210039179008226,0.034291948713824766,
1768194434.4197786,"{'1': 8, '0': 19}","{'0': 2.1901023120136687, '1': 0.8783806928534912}","{'0': 76.73378273477039, '1': 16.796842519624157}",0.14640461731411777,0.02521173544841739,
1768194437.7484293,"{'1': 16, '0': 42}","{'0': 2.2401023120136685, '1': 0.8283806928534911}","{'0': 54.588413081276975, '1': 15.804431855203731}",0.1883721903842537,0.20673066611251978,
1768194441.3454072,"{'1': 5, '0': 12}","{'0': 2.246464278088759, '1': 0.752985463452019}","{'0': 66.06321927191111, '1': 16.6863845892452}",0.22989553346839958,0.036108258456727035,
1768194445.650754,"{'1': 14, '0': 33}","{'0': 2.234395671722679, '1': 0.777985463452019}","{'0': 50.60448584076917, '1': 11.852188199284193}",0.2669308016517174,0.32996950851301127,
1768194449.74698,"{'1': 9, '0': 29}","{'0': 2.270372872448273, '1': 0.702985463452019}","{'0': 67.98290231556703, '1': 12.598477631052718}",0.16993201555539622,0.05056893068187183,
1768194453.2935858,"{'1': 2, '0': 0}","{'0': 2.3453728724482725, '1': 0.6707498587698388}","{'0': 59.69548742166085, '1': 13.936886831467902}",0.16086225252401357,0.03540994350019728,
1768194457.5572724,"{'1': 1, '0': 3}","{'0': 2.3116182448673004, '1': 0.7075402676159354}","{'0': 52.92832012048763, '1': 13.670997114570014}",0.19526321118469744,0.10750284760210274,
1768194461.276144,"{'1': 2, '0': 4}","{'0': 2.3116182448673004, '1': 0.6820746561940342}","{'0': 74.62280289314197, '1': 10.200516974178925}",0.2064221088520677,0.026424391749969366,
1768194465.7486315,"{'1': 2, '0': 3}","{'0': 2.2018252853525238, '1': 0.8251298429349613}","{'0': 58.41265608146671, '1': 17.821033261678792}",0.3053381297728553,0.03805462541913255,
1768194470.0089989,"{'1': 3, '0': 1}","{'0': 2.2268252853525237, '1': 0.8767745665376842}","{'0': 60.49382891093835, '1': 14.84862106616264}",0.3931632605740009,0.058722242088573934,
